Provinsi;Kab/Kota;Prevalensi Balita Stunting (%);Kategori Prevalensi Stunting Berdasarkan WHO;Jumlah Penduduk (jiwa);Tingkat Kemiskinan (%);Proporsi Keluarga yang Memiliki Akses Terhadap Fasilitas Sanitasi yang Layak (%);Persentase Sarana Air Minum Memenuhi Syarat (%);Proporsi Desa/Kelurahan Stop BAB Sembarangan (%);Jumlah Rumah Sakit;Jumlah Puskesmas;Jumlah Posyandu;Jumlah Dokter;Jumlah Bidan;Jumlah Perawat
JABAR;Kabupaten Tasikmalaya;24.4;Medium;1.802.165;11.2;79;84.6;82;2;40;1.641;128;1.085;987
JABAR;Kota Bandung;26.4;Medium;2.576.050;4.4;78.5;96.4;61.6;37;80;1.423;4.121;1.554;8.457
JABAR;Kota Banjar;23.9;Medium;188.305;7.1;98;86.4;88;4;10;200;140;297;606
JABAR;Kota Bekasi;13.8;Low;3.056.932;4.7;99;90.7;25;47;47;1.357;2.837;1.263;5.057
JABAR;Kota Bogor;16.9;Low;1.108.156;7.2;76;47.4;0;22;25;203;1.243;628;3.161
JABAR;Kota Cimahi;19.9;Low;607.608;5.4;81;63.6;27;8;13;391;693;205;1.468
JABAR;Kota Cirebon;30.6;High;319.141;10;97;80.5;82;11;22;264;742;512;1.223
JABAR;Kota Depok;12.3;Low;2.490.030;2.6;90.3;59.3;65.1;24;38;1.022;1.958;725;3.389
JABAR;Kota Sukabumi;19.1;Low;330.112;8.3;83.2;72.2;66.7;6;15;378;416;347;1.288
JABAR;Kota Tasikmalaya;28.9;Medium;682.450;13.1;58;22.9;10;12;22;639;913;693;1.546
JATENG;Kabupaten Banjarnegara;23.3;Medium;1.026.866;16.2;75.4;76;47.5;4;35;1.285;180;691;957
JATENG;Kabupaten Banyumas;21.6;Medium;1.789.630;13.7;100;75.7;100;24;40;2.056;846;1.149;3.175
JATENG;Kabupaten Batang;21.7;Medium;807.005;9.7;77.2;92.5;30.6;3;21;1.032;138;648;793
JATENG;Kabupaten Blora;21.5;Medium;886.147;12.4;100;71.9;100;6;26;558;196;720;937
JATENG;Kabupaten Boyolali;20.7;Medium;1.070.247;10.6;100;89;100;12;25;1.654;337;595;1.313
JATENG;Kabupaten Brebes;26.3;Medium;1.992.685;17.4;100;100;100;14;38;1.083;427;1.389;1.562
JATENG;Kabupaten Cilacap;17.9;Low;1.963.824;11.7;90.5;85.4;58.5;13;38;1.479;380;1.141;1.740
JATENG;Kabupaten Demak;25.5;Medium;1.212.377;12.9;97.3;91.1;79.5;5;27;1.142;250;649;913
JATENG;Kabupaten Grobogan;9.6;Low;1.460.873;12.7;94.5;98;100;8;30;1.084;350;1.014;1.558
JATENG;Kabupaten Jepara;25;Medium;1.188.510;7.4;97.6;96.8;100;6;22;694;305;540;1.236
JATENG;Kabupaten Karanganyar;16.2;Low;938.808;10.7;100;73.9;100;8;21;1.262;298;555;919
JATENG;Kabupaten Kebumen;15.9;Low;1.361.913;17.8;93.4;89.8;96.7;11;35;2.053;326;1.025;1.749
JATENG;Kabupaten Kendal;21.2;Medium;1.025.020;10.2;100;92.5;100;5;30;773;241;770;1.172
JATENG;Kabupaten Klaten;15.8;Low;1.267.272;13.5;100;69.3;100;12;34;2.222;545;753;2.061
JATENG;Kabupaten Kudus;17.6;Low;852.443;7.6;98.5;81.9;100;10;19;485;397;693;1.649
JATENG;Kabupaten Magelang;22.3;Medium;1.305.512;11.9;100;94.3;100;6;29;2.108;235;554;737
JATENG;Kabupaten Pati;20.6;Medium;1.330.983;10.2;100;97.9;100;10;29;1.366;461;1.040;1.743
JATENG;Kabupaten Pekalongan;19.5;Low;976.504;10.6;78.5;39.6;31.2;4;27;1.046;202;678;855
JATENG;Kabupaten Pemalang;24.7;Medium;1.484.209;16.6;98.4;87.7;88.3;9;25;633;306;863;1.192
JATENG;Kabupaten Purbalingga;16.8;Low;1.007.794;16.2;92.6;90.9;64.9;8;22;1.193;251;629;1.126
JATENG;Kabupaten Purworejo;15.7;Low;773.588;12.4;94.7;84.3;49.8;12;27;1.049;289;700;1.017
JATENG;Kabupaten Rembang;18.7;Low;647.766;15.8;89.5;79.5;100;3;17;868;153;505;1.005
JATENG;Kabupaten Semarang;16.4;Low;1.059.844;7.8;100;91.1;100;5;26;1.394;281;479;940
